"","basisOfRecord","eventDate","eventTime","scientificName","kingdom","taxonRank","individualCount","decimalLatitude","decimalLongitude","countryCode","plantCategory","project_area","Group","occurenceID"
"5712","AcceptedTaxon",2022-09-12,"15:20+01:00","Juncus effusus","Plantae","species","NA","52.544717","8.329933","DE","+",1,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3760"
"6851","AcceptedTaxon",2022-09-12,"16:20+01:00","Typha latifolia","Plantae","species","NA","52.564133","8.340333","DE","5",1,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3761"
"76101","AcceptedTaxon",2022-09-12,"16:15+01:00","Glyceria maxima","Plantae","species","NA","52.5645","8.339917","DE","4",1,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3762"
"77101","AcceptedTaxon",2022-09-12,"16:15+01:00","Phragmites australis","Plantae","species","NA","52.5645","8.339917","DE","2",1,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3763"
"11213","AcceptedTaxon",2022-08-29,"11:45+01:00","Phragmites australis","Plantae","species","NA","51.8954965","6.09157318","NL","2",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3997"
"21213","AcceptedTaxon",2022-08-29,"12:00+01:00","Phragmites australis","Plantae","species","NA","51.8954965","6.09157318","NL","4",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3998"
"3123","AcceptedTaxon",2022-08-29,"12:15+01:00","Phragmites australis","Plantae","species","NA","51.8954965","6.09157318","NL","2",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/3999"
"4123","AcceptedTaxon",2022-08-29,"12:15+01:00","Phalaris arundinacea","Plantae","species","NA","51.8954965","6.09157318","NL","1",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/4000"
"5116","AcceptedTaxon",2022-08-29,"12:45+01:00","Phragmites australis","Plantae","species","NA","51.8954965","6.09157318","NL","1",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/4001"
"6115","AcceptedTaxon",2022-08-29,"12:45+01:00","Phalaris arundinacea","Plantae","species","NA","51.8954965","6.09157318","NL","2",10,"Plants","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/4002"
