Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
14,1,7,15:28,Grote roodoogjuffer,1,
14,1,7,15:28,Azuurwaterjuffer,1,
14,1,7,15:28,Viervlek,2,
14,1,7,15:28,Grote keizerlibel,1,
14,1,7,15:28,Bloedrode heidelibel,5,
14,1,8,15:33,Grote keizerlibel,1,
14,1,8,15:33,Bloedrode heidelibel,25,
14,1,8,15:33,Vuurlibel,1,
14,1,9,15:38,Gewone pantserjuffer,1,
14,1,9,15:38,Gewone oeverlibel,1,
14,1,9,15:38,Bloedrode heidelibel,30,
14,1,9,15:38,Vroege glazenmaker,1,
14,1,10,15:43,Gewone oeverlibel,2,
14,1,10,15:43,Bruine korenbout,1,
14,1,10,15:43,Grote keizerlibel,1,
14,1,10,15:43,Bloedrode heidelibel,100,
14,1,10,15:43,Bruinrode heidelibel,1,
14,2,1,16:04,Gewone oeverlibel,2,
14,2,1,16:04,Bloedrode heidelibel,1,
14,2,1,16:04,Vroege glazenmaker,1,
14,2,2,16:08,Bruine korenbout,1,
14,2,2,16:08,Bloedrode heidelibel,6,
14,2,2,16:08,Bruinrode heidelibel,1,
14,2,3,16:11,Lantaarntje,1,
14,2,3,16:11,Variabele waterjuffer,1,
14,2,3,16:11,Zwervende pantserjuffer,1,
14,2,3,16:11,Gewone pantserjuffer,1,
14,2,3,16:11,Bloedrode heidelibel,1,
14,2,4,16:16,,,
14,2,5,16:19,,,
14,2,6,16:23,Bruine korenbout,1,
14,2,7,16:26,,,
14,2,8,16:28,Bruine korenbout,1,
14,2,9,16:30,Lantaarntje,8,
14,2,9,16:30,Zwervende pantserjuffer,1,
14,2,9,16:30,Gewone pantserjuffer,3,
14,2,9,16:30,Grote keizerlibel,1,
14,2,9,16:30,Bloedrode heidelibel,15,
14,2,9,16:30,Vroege glazenmaker,1,
14,2,10,16:38,Gewone oeverlibel,2,
14,2,10,16:38,Bloedrode heidelibel,8,
14,2,10,16:38,Vroege glazenmaker,1,
15,1,1,14:30,,,
15,1,2,14:32,Lantaarntje,7,
15,1,3,14:34,,,
15,1,4,14:36,Lantaarntje,3,
15,1,5,14:37,,,
15,1,6,14:39,Lantaarntje,23,
15,1,6,14:39,Bloedrode heidelibel,2,
15,1,7,14:47,Bloedrode heidelibel,1,
15,1,8,14:51,,,
15,1,9,14:53,,,
15,1,10,15:55,Lantaarntje,1,
15,2,1,15:33,Lantaarntje,19,
15,2,1,15:33,Gewone oeverlibel,6,
15,2,2,15:36,Lantaarntje,27,
15,2,2,15:36,Gewone oeverlibel,6,
15,2,3,15:40,Gewone oeverlibel,12,
15,2,4,15:43,Gewone oeverlibel,11,
15,2,4,15:43,Viervlek,1,
15,2,4,15:43,Zuidelijke keizerlibel,1,
15,2,5,15:50,Gewone oeverlibel,18,
15,2,5,15:50,Lantaarntje,21,
15,2,5,15:50,Grote keizerlibel,2,
15,2,5,15:50,Bloedrode heidelibel,1,
15,2,6,15:53,Bloedrode heidelibel,3,
15,2,6,15:53,Zuidelijke keizerlibel,1,
15,2,6,15:53,Gewone oeverlibel,1,
15,2,6,15:53,Viervlek,1,
15,2,6,15:53,Vroege glazenmaker,2,
15,2,7,16:07,Zuidelijke keizerlibel,1,
15,2,8,16:14,Bloedrode heidelibel,1,
15,2,8,16:14,Gewone oeverlibel,4,
15,2,8,16:14,Vroege glazenmaker,1,
15,2,8,16:14,Zuidelijke keizerlibel,1,
15,2,8,16:14,Viervlek,1,
15,2,8,16:14,Grote keizerlibel,2,
15,2,9,16:19,Gewone oeverlibel,2,
15,2,9,16:19,Grote keizerlibel,1,
15,2,9,16:19,Viervlek,2,
15,2,9,16:19,Vroege glazenmaker,1,
15,2,9,16:19,Lantaarntje,3,
15,2,9,16:19,Zuidelijke keizerlibel,1,
15,2,10,16:30,Gewone oeverlibel,5,
15,2,10,16:30,Grote keizerlibel,1,
15,2,10,16:30,Viervlek,1,
23,1,1,12:26,,,
23,1,2,12:26,Lantaarntje,2,
23,1,3,12:30,,,
23,1,4,12:32,,,
23,1,5,12:34,,,
23,1,6,12:36,Lantaarntje,1,
23,1,7,12:45,,,
23,1,8,12:47,,,
23,1,9,12:49,,,
23,1,10,12:51,,,
23,2,1,11:00,Lantaarntje,24,
23,2,2,11:03,,,
23,2,3,11:05,,,
23,2,4,11:07,Bloedrode heidelibel,1,
23,2,4,11:07,Gewone oeverlibel,1,
23,2,5,11:13,Gewone oeverlibel,3,
23,2,5,11:13,Viervlek,1,
23,2,5,11:13,Lantaarntje,8,
23,2,5,11:13,Grote keizerlibel,2,
23,2,6,11:24,Viervlek,1,
