"","basisOfRecord","eventDate","eventTime","scientificName","kingdom","taxonRank","individualCount","decimalLatitude","decimalLongitude","countryCode","project_area","Group","plantCategory","occurenceID"
"54","AcceptedTaxon",2021-05-03,"05:45+01:00","Acrocephalus scirpaceus","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0039"
"55","AcceptedTaxon",2021-05-03,"10:35+01:00","Luscinia svecica","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0040"
"56","AcceptedTaxon",2021-05-03,"05:45+01:00","Acrocephalus schoenobaenus","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0041"
"57","AcceptedTaxon",2021-05-03,"05:45+01:00","Aythya ferina","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0042"
"58","AcceptedTaxon",2021-05-03,"10:35+01:00","Aythya ferina","Animalia","species","2","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0043"
"59","AcceptedTaxon",2021-05-03,"10:35+01:00","Acrocephalus scirpaceus","Animalia","species","2","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0044"
"60","AcceptedTaxon",2021-04-30,"05:34+01:00","Luscinia svecica","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0045"
"61","AcceptedTaxon",2021-05-03,"05:45+01:00","Luscinia svecica","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0046"
"62","AcceptedTaxon",2021-04-30,"05:34+01:00","Acrocephalus schoenobaenus","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0047"
"63","AcceptedTaxon",2021-05-06,"05:24+01:00","Tachybaptus ruficollis","Animalia","species","1","51.1799","5.66322","BE",5,"Birds",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0048"
