Survey_ID,Transect,Stop,Tijd,Vogel,Aantal,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
4,2,3,5:53,Witgatje,4,,,,,,,,,,,,,,,,,,,,
4,2,4,5:58,Rietgors,1,,,,,,,,,,,,,,,,,,,,
4,2,4,5:58,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
4,2,4,5:58,Snor,1,,,,,,,,,,,,,,,,,,,,
4,2,4,5:58,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
4,2,5,6:04,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
4,2,5,6:04,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
4,2,5,6:04,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,2,5,6:04,Rietgors,1,,,,,,,,,,,,,,,,,,,,
4,2,5,6:04,Sprinkhaanzanger,1,,,,,,,,,,,,,,,,,,,,
4,2,6,6:08,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
4,2,6,6:08,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
4,2,6,6:08,Tafeleend,4,,,,,,,,,,,,,,,,,,,,
4,2,7,6:13,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
4,2,7,6:13,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
4,2,8,6:16,,,,,,,,,,,,,,,,,,,,,,
4,2,9,6:20,Waterral,1,,,,,,,,,,,,,,,,,,,,
4,2,9,6:20,Grote karekiet,1,,,,,,,,,,,,,,,,,,,,
6,1,1,14:27,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
6,1,1,14:27,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
6,1,2,14:31,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
6,1,3,14:37,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
6,1,3,14:37,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
6,1,4,14:43,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
6,1,4,14:43,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
6,1,4,14:43,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
6,1,5,14:48,,,,,,,,,,,,,,,,,,,,,,
6,1,6,14:49,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
