Survey_ID,Transect,Deeltraject,Type,Lengte,Tijd,Soort,Aantal,
14,2,2,L,50,16:08,Bloedrode heidelibel,6,
14,2,2,L,50,16:08,Bruinrode heidelibel,1,
14,2,3,LW,50,16:11,Lantaarntje,1,
14,2,3,LW,50,16:11,Variabele waterjuffer,1,
14,2,3,LW,50,16:11,Zwervende pantserjuffer,1,
14,2,3,LW,50,16:11,Gewone pantserjuffer,1,
14,2,3,LW,50,16:11,Bloedrode heidelibel,1,
14,2,4,L,50,16:16,,,
14,2,5,LW,50,16:19,,,
14,2,6,L,50,16:23,Bruine korenbout,1,
14,2,7,LW,50,16:26,,,
14,2,8,L,50,16:28,Bruine korenbout,1,
14,2,9,LW,50,16:30,Lantaarntje,8,
14,2,9,LW,50,16:30,Zwervende pantserjuffer,1,
14,2,9,LW,50,16:30,Gewone pantserjuffer,3,
14,2,9,LW,50,16:30,Grote keizerlibel,1,
14,2,9,LW,50,16:30,Bloedrode heidelibel,15,
14,2,9,LW,50,16:30,Vroege glazenmaker,1,
14,2,10,L,50,16:38,Gewone oeverlibel,2,
14,2,10,L,50,16:38,Bloedrode heidelibel,8,
14,2,10,L,50,16:38,Vroege glazenmaker,1,
15,1,1,L,50,14:30,,,
15,1,2,LW,50,14:32,Lantaarntje,7,
15,1,3,L,50,14:34,,,
15,1,4,LW,50,14:36,Lantaarntje,3,
15,1,5,L,50,14:37,,,
15,1,6,LW,50,14:39,Lantaarntje,23,
15,1,6,LW,50,14:39,Bloedrode heidelibel,2,
15,1,7,L,50,14:47,Bloedrode heidelibel,1,
15,1,8,L,50,14:51,,,
15,1,9,LW,50,14:53,,,
15,1,10,LW,50,15:55,Lantaarntje,1,
15,2,1,LW,50,15:33,Lantaarntje,19,
15,2,1,LW,50,15:33,Gewone oeverlibel,6,
15,2,2,LW,50,15:36,Lantaarntje,27,
15,2,2,LW,50,15:36,Gewone oeverlibel,6,
15,2,3,L,50,15:40,Gewone oeverlibel,12,
15,2,4,L,50,15:43,Gewone oeverlibel,11,
15,2,4,L,50,15:43,Viervlek,1,
15,2,4,L,50,15:43,Zuidelijke keizerlibel,1,
15,2,5,LW,50,15:50,Gewone oeverlibel,18,
15,2,5,LW,50,15:50,Lantaarntje,21,
15,2,5,LW,50,15:50,Grote keizerlibel,2,
15,2,5,LW,50,15:50,Bloedrode heidelibel,1,
15,2,6,L,50,15:53,Bloedrode heidelibel,3,
15,2,6,L,50,15:53,Zuidelijke keizerlibel,1,
15,2,6,L,50,15:53,Gewone oeverlibel,1,
15,2,6,L,50,15:53,Viervlek,1,
15,2,6,L,50,15:53,Vroege glazenmaker,2,
15,2,7,L,50,16:07,Zuidelijke keizerlibel,1,
15,2,8,LW,50,16:14,Bloedrode heidelibel,1,
15,2,8,LW,50,16:14,Gewone oeverlibel,4,
15,2,8,LW,50,16:14,Vroege glazenmaker,1,
15,2,8,LW,50,16:14,Zuidelijke keizerlibel,1,
15,2,8,LW,50,16:14,Viervlek,1,
15,2,8,LW,50,16:14,Grote keizerlibel,2,
15,2,9,LW,50,16:19,Gewone oeverlibel,2,
15,2,9,LW,50,16:19,Grote keizerlibel,1,
15,2,9,LW,50,16:19,Viervlek,2,
15,2,9,LW,50,16:19,Vroege glazenmaker,1,
15,2,9,LW,50,16:19,Lantaarntje,3,
15,2,9,LW,50,16:19,Zuidelijke keizerlibel,1,
15,2,10,L,50,16:30,Gewone oeverlibel,5,
15,2,10,L,50,16:30,Grote keizerlibel,1,
