Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Grote Roodoogjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Lantaarntje,2,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Variabele waterjuffer,2,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Grote Roodoogjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Lantaarntje,1,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Variabele waterjuffer,1,,2,25,1/8,geen,NNO2
